date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,33.92277822,0,0,0,0
02-02-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,34.36017065,0,0,0,0
09-02-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,33.82794437,0,0,0,0
16-02-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,32.96336159,0,0,0,0
23-02-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,28.59408678,2.714285714,0,0,0
01-03-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,28.98678464,36.71428571,0,0,13.52631579
08-03-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,29.40547242,303.4285714,0.428571429,0,8.26459144
15-03-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,29.92909937,1724.428571,4.428571429,0,5.683145009
22-03-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.28542272,5966.285714,38.57142857,0,3.45986248
29-03-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.53408828,10533,140,0,1.765419979
05-04-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.6848939,12933.42857,270.1428571,12339,1.227896
12-04-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.7990239,14327.14286,397,58488,1.10776062
19-04-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.83047881,14937.57143,501.5714286,33443,1.042606441
26-04-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.88573758,15399.85714,572.7142857,26598,1.03094785
03-05-20,13700,9501,16171640,106,0.914,8504850,0.26601,50022,8,0.103966169,0.19135,0.14544,0.12551,0.5377,51.7,72.7,30.89957633,15701.57143,607.1428571,42153,1.019592018
