date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,44.05334405,0,0,0,0
02-02-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,44.45592869,0.714285714,0,0,0
09-02-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,43.96660663,1,0,0,1.4
16-02-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,43.16927485,1,0,0,1
23-02-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,39.11866451,1,0,82,1
01-03-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,39.48748056,53.42857143,0,4406,53.42857143
08-03-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,39.87965123,368.8571429,1.857142857,9924,6.903743316
15-03-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,40.36766394,1648.571429,22.57142857,17066,4.469403563
22-03-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,40.69886015,5571.857143,189.2857143,27141,3.379809359
29-03-20,13533,10025,13676840,376,0.919,11198638,0.28914,45175,3,0.103386693,0.19265,0.17074,0.12225,0.51436,30.71,55.8,40.92952202,14289,844.8571429,38426,2.564495039
