date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,26.44492428,0.571428571,0,25,0
02-02-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,26.55879546,1,0,41,1.75
09-02-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,26.37086983,1,0,32,1
16-02-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,26.17693013,1,0,31,1
23-02-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.62813784,1.714285714,0,83,1.714285714
01-03-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.5997494,9.428571429,0,503,5.5
08-03-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.58161155,84.42857143,0,2421,8.954545455
15-03-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.59070102,364.4285714,0.142857143,7638,4.31641286
22-03-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.61010845,880.5714286,3.857142857,10379,2.41630733
29-03-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.6313525,1495.857143,17.42857143,12463,1.698734588
05-04-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.64703432,2453.857143,38.28571429,15756,1.640435488
12-04-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.66017115,3282.142857,71.14285714,16349,1.337544391
19-04-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.66404313,4135.428571,145.2857143,23236,1.259978237
26-04-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.67094757,4877,205.2857143,21364,1.179321542
03-05-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.67272891,5551,249.7142857,21129,1.138199713
10-05-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.67389231,6094.571429,282,24286,1.097923154
17-05-20,8000,4534,14831370,16,0.925,5470820,0.28707,48868,2,0.092069387,0.22481,0.15724,0.12043,0.49752,38.12,36.1,25.67549182,6452.428571,303,20367,1.05871736
