date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,38.10770081,3.714285714,0,0,0
02-02-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,38.49938932,12,0,0,3.230769231
09-02-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,38.01894802,15.42857143,0,0,1.285714286
16-02-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,37.24670322,16,0,0,1.037037037
23-02-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,33.37189919,35.57142857,0,0,2.223214286
01-03-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,33.7154614,385.4285714,0,124716,10.83534137
08-03-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,34.08238679,2274.142857,3.714285714,127457,5.900296516
15-03-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,34.54302501,13147.42857,39.28571429,348619,5.781267668
22-03-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,34.85725645,39534.57143,231.7142857,361515,3.007019298
29-03-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.07701422,78672.14286,957,408348,1.989958156
05-04-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.21046318,112816.5714,2267,380197,1.434009134
12-04-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.31153819,135210.7143,3739.571429,331902,1.198500474
19-04-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.33941119,150832.7143,5281.714286,363890,1.115538181
26-04-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.388384,161433.1429,6436.285714,326788,1.070279373
03-05-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.4006519,168332.4286,7225.428571,403875,1.042737728
10-05-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.40862579,173883.8571,7792.571429,432666,1.032978961
17-05-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.41949708,178269.7143,8126,353467,1.025222912
24-05-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.42793581,181708.4286,8413.714286,405269,1.019289391
31-05-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.43589632,184264.2857,8603.714286,340986,1.014065705
07-06-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.44676249,186581.5714,8745.142857,327196,1.012575881
14-06-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.45457319,188977.4286,8848,388187,1.012840803
21-06-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.46696969,192893.7143,8929.857143,467413,1.020723563
28-06-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.47569521,195913.4286,8995,507663,1.015654809
05-07-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.4812292,198667.2857,9044.714286,510551,1.0140565
12-07-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.47780598,201052.2857,9081.285714,538701,1.012004996
19-07-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.46638775,204405,9105.857143,574883,1.016675833
26-07-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.45025505,208710.1429,9137.142857,586620,1.021061828
02-08-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.42302824,214058.5714,9175.285714,736171,1.025626108
09-08-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.39967262,220965,9215.428571,857761,1.0322642
16-08-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.34734047,229673.5714,9251.714286,1092013,1.039411542
23-08-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.27256173,238963,9285.142857,1121214,1.040446223
30-08-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.18582432,247387.7143,9315.714286,1099608,1.035255309
06-09-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.11667426,256492.1429,9340.571429,1165275,1.036802266
13-09-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.0750901,267152.7143,9371.428571,1146193,1.041562955
20-09-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.06264828,279435.1429,9422,1168016,1.045975309
27-09-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.08220623,293184.8571,9495.428571,1101080,1.049205387
04-10-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.14792894,312058.4286,9578.285714,1213658,1.064374305
11-10-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.28561753,345361.8571,9708.714286,1212363,1.106721772
18-10-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.43136069,396897.7143,9915.142857,1358706,1.149222782
25-10-20,79721,95530,116847030,232,0.939,80716000,0.25144,46563,7,0.112468347,0.21835,0.13414,0.11608,0.53143,42.49,80,35.56583394,482696.5714,10238.71429,1358706,1.216173725
