date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,28.22591839,0,0,0,0
02-02-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,28.78129164,0,0,0,0
09-02-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,28.12279649,0,0,0,0
16-02-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,27.01291459,0,0,0,0
23-02-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,21.23745403,1.714285714,0,200,0
01-03-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,21.78731991,21.71428571,0,1035,12.66666667
08-03-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,22.36854226,121.5714286,0.857142857,5714,5.598684211
15-03-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,23.08243758,415.7142857,6.142857143,9925,3.419506463
22-03-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,23.56291439,828.8571429,22.85714286,8993,1.993814433
29-03-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,23.89516244,1418.142857,52,9732,1.710961737
05-04-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.09555824,1893.285714,84,10379,1.335045835
12-04-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.24672316,2183.857143,103.2857143,10919,1.153474685
19-04-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.28828749,2392.571429,122.2857143,14240,1.095571401
26-04-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.36126642,2573.714286,138.5714286,18419,1.075710533
03-05-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.37952272,2663.142857,147.4285714,26853,1.034746892
10-05-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.39138622,2763.571429,155.2857143,30119,1.037710546
17-05-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.40755395,2851.857143,166.7142857,34174,1.031946239
24-05-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.42009978,2897.857143,173.4285714,27497,1.01612984
31-05-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.43193136,2944,178.8571429,31579,1.015923096
07-06-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.44807625,3068.571429,182.4285714,35367,1.042313665
14-06-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.45967724,3189.428571,186.5714286,34696,1.039385475
21-06-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.47808365,3313.571429,190.4285714,34964,1.038923229
28-06-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.49103455,3437.428571,191.7142857,43438,1.037378745
05-07-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.49924659,3638.285714,192.7142857,62993,1.058432383
12-07-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.49416693,3901.142857,193.2857143,64682,1.072247526
19-07-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.47721903,4079.285714,198.4285714,53361,1.045664274
26-07-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.45326289,4357.142857,203.5714286,57263,1.068114166
02-08-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.41279947,5006,209.5714286,70061,1.148918033
09-08-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.3780633,6194.571429,217.8571429,79411,1.23742937
16-08-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.30011373,7700.857143,234,82050,1.243162216
23-08-20,6287,1104,13861830,82,0.872,10816286,0.23451,19974,2,0.0804139,0.2283,0.13866,0.1029,0.53014,54.79,42,24.18848611,9294,249.7142857,91067,1.206878641
