date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,40.26191663,0,0,0,0
02-02-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,40.70785486,0,0,167,0
09-02-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,40.16970192,0,0,279,0
16-02-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,39.28428187,0,0,360,0
23-02-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,34.75501531,5.142857143,0,413,0
01-03-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,35.17286664,115.8571429,0.428571429,2304,22.52777778
08-03-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,35.61638384,714.8571429,5.571428571,7105,6.170160296
15-03-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,36.16616238,3724.571429,36.14285714,30722,5.210231815
22-03-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,36.53836871,10836.85714,168.4285714,83325,2.909558147
29-03-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,36.7970549,17723.14286,481.8571429,127002,1.635450447
05-04-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,36.95356614,23142.71429,883.1428571,167247,1.305790653
12-04-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,37.0718496,26369.85714,1233.285714,199850,1.139445305
19-04-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,37.1044171,28297.42857,1506.571429,227046,1.07309753
26-04-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,37.16161745,29429.14286,1706.142857,255782,1.039993538
03-05-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,37.17593584,30077,1801.285714,285853,1.022014136
10-05-20,7331,20864.5,26737540,206,0.946,8183800,0.16023,83716,5,0.123463221,0.19036,0.14943,0.11872,0.54149,42.96,46.3,37.18524138,30427.28571,1863.428571,314541,1.011646298
