date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,46.29356465,4.428571429,0,0,0
02-02-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,46.74460877,6.714285714,0,0,1.516129032
09-02-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,46.20313284,11.14285714,0.142857143,0,1.659574468
16-02-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,45.30516438,12,1,0,1.076923077
23-02-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,40.67842194,35.85714286,1.571428571,3318,2.988095238
01-03-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,41.11169374,401.1428571,5.571428571,11101,11.187251
08-03-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,41.57043735,2416,48.14285714,29623,6.022792023
15-03-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,42.1362541,9463.571429,256.5714286,73235,3.917041154
22-03-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,42.51819632,26520.85714,1426.428571,122870,2.802415277
29-03-20,58505,107920,68316470,118,0.891,67210000,0.31196,41760,8,0.113128923,0.20426,0.18103,0.11881,0.4959,32.67,59.1,42.78301956,55869.28571,4725.571429,127029,2.106616895
