date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,36.4822793,0.571428571,0,0,0
02-02-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,36.98596965,2.285714286,0,0,4
09-02-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,36.38439344,3,0,0,1.3125
16-02-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,35.3802592,13.85714286,0.428571429,0,4.619047619
23-02-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,30.18776931,547.1428571,14.14285714,20457,39.48453608
01-03-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,30.67683789,3385.428571,121.4285714,29132,6.187467363
08-03-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,31.19440765,13298.28571,858.5714286,74304,3.928095198
15-03-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,31.8319413,37368.57143,3101.428571,131459,2.81002922
22-03-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.26186954,75169.42857,7606.857143,198678,2.011568163
29-03-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.55968741,110785,13130.14286,237431,1.47380394
05-04-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.73951583,139996.7143,17686,318732,1.263679327
12-04-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.87525866,165831.7143,21602.57143,346348,1.184540045
19-04-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.91260111,187114.5714,25058.42857,401118,1.12834009
26-04-20,103390,55493,27836420,200,0.883,60782668,0.2791,32747,5,0.088402592,0.23142,0.12999,0.10264,0.53595,39.77,31.4,32.97817488,203486.2857,27653.57143,396113,1.087495667
