date,Road passenger transport by buses and coaches[Milions],Rail passenger transport[Milions],flights transportation[year],Population Density[ppl/km^2],HDI index,population,social spending[% of GPD],GDP per capita[$],border countries,health expenditure,Share of 65 and over - elderly,Share of under 15 - children,Share of 15 to 24 - youth,share of 25 to 64,"doctors per 10,000","bed per 10,000",Weeklydistance,WeeklyConfirmed,WeeklyDeaths,WeeklyTestDone,WeeklyGrowth
26-01-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,43.32584752,0,0,0,0
02-02-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,43.71277969,0,0,0,0
09-02-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,43.24028859,0,0,0,0
16-02-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,42.47545321,0,0,0,0
23-02-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,38.61074321,1.142857143,0,0,0
01-03-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,38.95880047,69.71428571,0.285714286,0,61
08-03-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,39.32951973,534.5714286,6,17080,7.668032787
15-03-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,39.79243916,2204.714286,66.57142857,21338,4.124265099
22-03-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.10726111,6704.714286,378.5714286,24745,3.041080801
29-03-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.3268964,13778,1191.285714,29098,2.054971981
05-04-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.4600845,20999,2226.285714,38960,1.524096386
12-04-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.56087947,28588.57143,3155.857143,40102,1.361425374
19-04-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.58865918,35115.57143,4054,38395,1.228308015
26-04-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.63746158,39146.42857,4722.428571,28954,1.114788311
03-05-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.6496835,41626.71429,5242.857143,29006,1.063359183
10-05-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.65762714,43433.71429,5572,32687,1.043409624
17-05-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.66845636,44697.85714,5763.428571,29339,1.029105106
24-05-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.67686188,45967.71429,5899.571429,33871,1.028409799
31-05-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.68479064,47033.14286,6000.142857,58956,1.023177758
07-06-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.69561278,48300.14286,6055.571429,63778,1.026938451
14-06-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.70339131,49389,6092.714286,65541,1.022543559
21-06-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.71573599,50032.28571,6116.142857,64140,1.013024878
28-06-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.72442442,50556.85714,6133.857143,69658,1.010484658
05-07-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.72993466,50967.71429,6152.142857,79309,1.008126635
12-07-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.72652615,51491.57143,6155.571429,89783,1.010278215
19-07-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.71515642,52477.14286,6156.857143,113744,1.019140442
26-07-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.69909086,54014.85714,6166.714286,122021,1.029302553
02-08-20,16192,18895,42770630,521,0.933,16856620,0.167,8069,2,0.101008348,0.19754,0.15543,0.12797,0.51906,36.05,31.7,40.67197307,56931.71429,6172.285714,118058,1.054001016
